feature,importance
wspd,907
collisions_lag1,834
collisions_lag14,817
collisions_roll7_sum,792
collisions_roll14_sum,771
collisions_lag7,703
collisions_roll30_sum,659
tmin,588
tmax,564
prcp,435
dow,370
tavg,369
month,320
snow,222
year,162
ksi_weighted_score_roll30_sum,92
ksi_weighted_score_roll7_sum,57
ksi_collisions_roll30_sum,51
ksi_weighted_score_roll14_sum,41
ksi_weighted_score_lag7,36
ksi_collisions_roll14_sum,35
ksi_weighted_score_lag14,32
ksi_collisions_lag14,28
ksi_collisions_roll7_sum,28
ksi_collisions_lag7,28
ksi_weighted_score_lag1,27
ksi_collisions_lag1,11
rain_day,8
road_construction_total_pressure_roll14_sum,6
road_construction_count,5
snow_day,2
road_events_severity_weighted,0
road_events_count_lag1,0
road_events_count_lag7,0
freeze_day,0
road_events_count,0
road_construction_severity_weighted,0
road_events_full_closure_count,0
road_construction_full_closure_count,0
road_construction_severity_weighted_lag14,0
road_construction_severity_weighted_lag7,0
road_construction_severity_weighted_lag1,0
road_construction_count_lag14,0
road_construction_count_lag7,0
road_construction_count_lag1,0
road_events_full_closure_count_lag14,0
road_events_full_closure_count_lag7,0
road_events_full_closure_count_lag1,0
road_events_severity_weighted_lag14,0
road_events_severity_weighted_lag7,0
road_events_severity_weighted_lag1,0
road_events_count_lag14,0
road_events_count_roll7_sum,0
road_construction_full_closure_count_lag14,0
road_construction_full_closure_count_lag7,0
road_construction_count_roll7_sum,0
road_construction_count_roll14_sum,0
road_events_severity_weighted_roll7_sum,0
road_construction_count_roll30_sum,0
road_events_severity_weighted_roll30_sum,0
road_construction_severity_weighted_roll7_sum,0
road_construction_severity_weighted_roll14_sum,0
road_events_severity_weighted_roll14_sum,0
road_construction_severity_weighted_roll30_sum,0
road_events_count_halo,0
road_events_full_closure_count_halo,0
road_events_severity_weighted_halo,0
road_construction_count_halo,0
road_events_count_roll14_sum,0
road_events_count_roll30_sum,0
road_construction_full_closure_count_lag1,0
road_construction_total_pressure,0
road_construction_full_closure_count_halo,0
road_construction_severity_weighted_halo,0
is_zone_disrupted,0
road_construction_severity_halo_norm,0
is_road_disrupted_halo,0
road_construction_total_pressure_norm,0
road_construction_count_halo_norm,0
road_events_count_halo_roll14_sum,0
road_events_severity_weighted_halo_lag1,0
road_events_severity_weighted_halo_lag7,0
road_events_severity_weighted_halo_roll7_sum,0
road_events_severity_weighted_halo_roll14_sum,0
road_events_count_halo_lag1,0
road_events_count_halo_lag7,0
road_events_count_halo_roll7_sum,0
road_events_full_closure_count_halo_roll7_sum,0
road_events_full_closure_count_halo_lag7,0
road_events_full_closure_count_halo_lag1,0
road_events_full_closure_count_halo_roll14_sum,0
road_construction_count_halo_roll14_sum,0
road_construction_count_halo_lag1,0
road_construction_count_halo_lag7,0
road_construction_count_halo_roll7_sum,0
road_construction_severity_weighted_halo_roll7_sum,0
road_construction_severity_weighted_halo_lag7,0
road_construction_severity_weighted_halo_lag1,0
road_construction_severity_weighted_halo_roll14_sum,0
road_construction_full_closure_count_halo_roll7_sum,0
road_construction_full_closure_count_halo_lag7,0
road_construction_full_closure_count_halo_lag1,0
road_construction_full_closure_count_halo_roll14_sum,0
