feature,importance
collisions_lag1,122
collisions_roll7_sum,113
tmax,94
tmin,94
collisions_roll30_sum,90
collisions_roll14_sum,89
tavg,84
dow,83
wspd,79
collisions_lag7,71
collisions_lag14,70
prcp,61
ksi_weighted_score_roll30_sum,42
ksi_weighted_score_roll14_sum,41
ksi_weighted_score_roll7_sum,33
ksi_collisions_roll30_sum,32
month,30
ksi_collisions_roll14_sum,30
ksi_collisions_lag14,27
snow,21
ksi_collisions_roll7_sum,19
ksi_collisions_lag7,17
ksi_weighted_score_lag14,16
road_construction_count_roll14_sum,10
ksi_collisions_lag1,9
ksi_weighted_score_lag1,7
ksi_weighted_score_lag7,7
road_construction_count_roll30_sum,3
road_construction_count,2
year,1
road_construction_total_pressure,1
rain_day,1
road_construction_count_lag14,1
road_events_severity_weighted,0
freeze_day,0
snow_day,0
road_events_count,0
road_construction_full_closure_count,0
road_construction_severity_weighted,0
road_construction_severity_weighted_lag14,0
road_construction_severity_weighted_lag7,0
road_construction_severity_weighted_lag1,0
road_construction_count_lag7,0
road_events_full_closure_count_lag14,0
road_construction_count_lag1,0
road_events_full_closure_count_lag7,0
road_events_full_closure_count_lag1,0
road_events_count_lag14,0
road_events_severity_weighted_lag14,0
road_events_severity_weighted_lag7,0
road_events_severity_weighted_lag1,0
road_events_count_lag1,0
road_events_count_lag7,0
road_events_full_closure_count,0
road_events_count_roll7_sum,0
road_construction_count_roll7_sum,0
road_events_count_roll30_sum,0
road_events_count_roll14_sum,0
road_events_severity_weighted_roll7_sum,0
road_events_severity_weighted_roll30_sum,0
road_construction_severity_weighted_roll7_sum,0
road_construction_severity_weighted_roll14_sum,0
road_events_severity_weighted_roll14_sum,0
road_construction_severity_weighted_roll30_sum,0
road_events_count_halo,0
road_events_full_closure_count_halo,0
road_events_severity_weighted_halo,0
road_construction_count_halo,0
road_construction_full_closure_count_lag7,0
road_construction_full_closure_count_lag14,0
road_construction_full_closure_count_lag1,0
road_construction_total_pressure_roll14_sum,0
road_construction_full_closure_count_halo,0
road_construction_severity_weighted_halo,0
is_zone_disrupted,0
road_construction_severity_halo_norm,0
is_road_disrupted_halo,0
road_construction_total_pressure_norm,0
road_construction_count_halo_norm,0
road_events_count_halo_roll14_sum,0
road_events_severity_weighted_halo_lag1,0
road_events_severity_weighted_halo_lag7,0
road_events_severity_weighted_halo_roll7_sum,0
road_events_severity_weighted_halo_roll14_sum,0
road_events_count_halo_lag1,0
road_events_count_halo_lag7,0
road_events_count_halo_roll7_sum,0
road_events_full_closure_count_halo_roll7_sum,0
road_events_full_closure_count_halo_lag7,0
road_events_full_closure_count_halo_lag1,0
road_events_full_closure_count_halo_roll14_sum,0
road_construction_count_halo_roll14_sum,0
road_construction_count_halo_lag1,0
road_construction_count_halo_lag7,0
road_construction_count_halo_roll7_sum,0
road_construction_severity_weighted_halo_roll7_sum,0
road_construction_severity_weighted_halo_lag7,0
road_construction_severity_weighted_halo_lag1,0
road_construction_severity_weighted_halo_roll14_sum,0
road_construction_full_closure_count_halo_roll7_sum,0
road_construction_full_closure_count_halo_lag7,0
road_construction_full_closure_count_halo_lag1,0
road_construction_full_closure_count_halo_roll14_sum,0
