feature,importance
collisions_roll30_sum,1975.0
wspd,1762.6666666666667
tmax,1340.0
tmin,1318.3333333333333
collisions_roll14_sum,1267.6666666666667
tavg,1261.0
collision_momentum,1192.0
collisions_roll7_sum,1101.6666666666667
prcp,891.3333333333334
year,543.3333333333334
collisions_lag7,527.0
collisions_lag14,510.0
dow_sin,432.6666666666667
collisions_roll30_mean,418.0
month,395.6666666666667
dow,386.0
month_sin,370.3333333333333
month_cos,319.3333333333333
dow_cos,307.3333333333333
collisions_roll14_mean,268.6666666666667
collisions_lag1,258.0
snow,235.66666666666666
collisions_roll7_mean,225.0
ksi_collisions_roll30_sum,172.33333333333334
ksi_weighted_score_roll30_sum,112.33333333333333
pre_holiday,69.0
ksi_collisions_roll14_sum,66.33333333333333
ksi_weighted_score_roll14_sum,48.0
ksi_collisions_roll7_sum,46.0
is_holiday,43.333333333333336
rain_day,40.666666666666664
ksi_weighted_score_lag7,36.333333333333336
ksi_collisions_roll30_mean,33.666666666666664
post_holiday,33.666666666666664
ksi_weighted_score_roll7_sum,30.0
freezing_rain,28.0
ksi_ratio_lag1,27.666666666666668
wind_rain,27.333333333333332
is_weekend,24.0
road_construction_count,22.333333333333332
ksi_weighted_score_roll30_mean,21.666666666666668
feels_bad,21.0
ksi_collisions_lag14,19.333333333333332
snow_day,17.0
ksi_collisions_lag7,15.333333333333334
cold_dry,14.333333333333334
ksi_weighted_score_lag1,12.666666666666666
ksi_collisions_roll14_mean,12.333333333333334
road_construction_count_halo,11.666666666666666
construction_total_pressure,11.0
ksi_weighted_score_roll14_mean,10.0
ksi_weighted_score_lag14,9.666666666666666
ksi_collisions_roll7_mean,9.0
freeze_day,8.0
ksi_weighted_score_roll7_mean,6.0
road_construction_severity_weighted,5.0
ksi_collisions_lag1,4.666666666666667
road_construction_count_halo_roll14_sum,4.333333333333333
road_construction_count_lag1,3.0
construction_pressure_norm,2.6666666666666665
road_construction_severity_weighted_halo,2.3333333333333335
heavy_snow,2.3333333333333335
road_construction_count_roll30_sum,2.0
