feature,importance
collisions_roll30_sum,1210
tmin,892
dow,866
wspd,808
tmax,782
tavg,766
collisions_roll14_sum,590
year,532
month,531
prcp,513
snow,445
collisions_roll7_sum,368
collisions_lag14,171
collisions_lag1,156
collisions_lag7,143
ksi_weighted_score_roll30_sum,53
ksi_collisions_roll30_sum,45
ksi_weighted_score_roll7_sum,24
snow_day,16
rain_day,14
road_construction_count_roll30_sum,12
ksi_weighted_score_roll14_sum,8
road_construction_total_pressure_roll14_sum,8
ksi_collisions_roll14_sum,7
road_construction_count,5
road_construction_count_halo,4
ksi_weighted_score_lag7,4
ksi_collisions_lag14,4
road_construction_count_halo_roll14_sum,4
ksi_collisions_roll7_sum,3
freeze_day,3
ksi_collisions_lag7,2
road_events_severity_weighted_roll30_sum,2
road_construction_severity_weighted_roll30_sum,2
road_construction_count_lag14,2
ksi_collisions_lag1,2
road_construction_severity_weighted_lag14,1
road_construction_severity_weighted_halo,1
road_construction_total_pressure,1
road_construction_severity_weighted,0
road_construction_full_closure_count_lag14,0
road_construction_severity_weighted_lag7,0
road_construction_count_lag7,0
road_construction_count_lag1,0
road_construction_severity_weighted_lag1,0
road_construction_full_closure_count_lag7,0
road_construction_full_closure_count_lag1,0
road_events_count_lag1,0
road_events_count_lag7,0
road_events_count_lag14,0
road_events_severity_weighted_lag1,0
road_events_severity_weighted_lag7,0
road_events_severity_weighted_lag14,0
road_events_full_closure_count_lag1,0
road_events_full_closure_count_lag7,0
road_events_full_closure_count_lag14,0
ksi_weighted_score_lag1,0
ksi_weighted_score_lag14,0
road_construction_full_closure_count,0
road_events_count,0
road_events_full_closure_count,0
road_events_severity_weighted,0
road_construction_severity_weighted_roll14_sum,0
road_events_count_halo,0
road_events_severity_weighted_halo,0
road_construction_count_roll7_sum,0
road_events_severity_weighted_roll14_sum,0
road_events_severity_weighted_roll7_sum,0
road_construction_count_roll14_sum,0
road_events_count_roll30_sum,0
road_events_count_roll14_sum,0
road_events_count_roll7_sum,0
road_events_severity_weighted_halo_lag1,0
road_events_count_halo_roll14_sum,0
road_events_count_halo_roll7_sum,0
road_events_count_halo_lag7,0
road_events_count_halo_lag1,0
road_construction_severity_halo_norm,0
road_construction_count_halo_norm,0
road_construction_total_pressure_norm,0
is_road_disrupted_halo,0
is_zone_disrupted,0
road_events_full_closure_count_halo,0
road_construction_full_closure_count_halo,0
road_construction_severity_weighted_roll7_sum,0
road_events_severity_weighted_halo_lag7,0
road_events_severity_weighted_halo_roll14_sum,0
road_events_severity_weighted_halo_roll7_sum,0
road_construction_full_closure_count_halo_lag1,0
road_construction_severity_weighted_halo_roll14_sum,0
road_construction_severity_weighted_halo_roll7_sum,0
road_construction_severity_weighted_halo_lag7,0
road_construction_severity_weighted_halo_lag1,0
road_construction_count_halo_roll7_sum,0
road_construction_count_halo_lag7,0
road_construction_count_halo_lag1,0
road_events_full_closure_count_halo_lag1,0
road_events_full_closure_count_halo_roll14_sum,0
road_events_full_closure_count_halo_roll7_sum,0
road_events_full_closure_count_halo_lag7,0
road_construction_full_closure_count_halo_roll7_sum,0
road_construction_full_closure_count_halo_lag7,0
road_construction_full_closure_count_halo_roll14_sum,0
surge_proba,0
